FlightDate,Airline,Origin,Dest,CRSDepTime,CRSArrTime,Distance,DepDelayMinutes,DepDel15,DepartureDelayGroups,TaxiOut,AirTime,ArrDelayMinutes
2022-02-23,United Air Lines Inc.,EWR,SEA,705,1014,2402.0,0.0,0.0,-1.0,22.0,333.0,0.0
2022-07-13,SkyWest Airlines Inc.,IDA,DFW,1345,1738,1095.0,7.0,0.0,0.0,38.|0,132.0,21.0
2022-04-19,Delta Air Lines Inc.,SEA,SAN,1925,2209,1050.0,2.0,0.0,0.0,9999.0,134.0,12.0
2022-05-05,American Airlines Inc.,CLT,BDL,1102,1258,644.0,9.0,0.0,0.0,18.0,86.0,5.0
2022-02-16,Alaska Airlines Inc.,SEA,TPA,755,1610,2520.0,0.0,0.0,-1.0,18.0,281.0,0.0
2022-01-18,SkyWest Airlines Inc.,SFO,BUR,2030,2148,326.|0,0.0,0.0,-1.0,14.0,50.0,0.0
2022-03-11,Southwest Airlines Co.,SJC,SAN,1755,1910,417.0,77.0,1.0,5.0,13.0,62.0,79.0
2022-05-24,SkyWest Airlines Inc.,PHX,GJT,1518,1741,438.0,0.0,0.0,-1.0,24.0,71.0,10.0
2022-02-26,Spirit Air Lines,BWI,MCO,2035,2300,787.0,193.0,1.0,12.0,10.0,111.0,178.0
2022-05-18,Endeavor Air Inc.,IND,LGA,1435,1639,660.0,0#.0,0.0,-1.0,11.0,88.0,0.0
2022-03-19,Spirit Air Lines,MCO,PNS,1700,1720,381.0,15.0,1.0,1.0,73.0,67.0,79.0
2022-03-14,Republic Airlines,ATL,PHL,620,820,666.0,0.0,0.0,-1.0,14.0,98.0,0.0
2022-03-10,Delta Air Lines Inc.,ATL,SDF,1930,2047,321.0,0.0,0.0,-1.0,17.0,54.0,0.0
2022-05-30,Southwest Airlines Co.,PDX,PHX,815,1055,1009.0,1#.0,0.0,0.0,9.0,126.0,0.0
2022-03-24,Spirit Air Lines,SJU,BOS,1320,1737,1674.0,0.0,0.0,-1.0,16.0,237.0,0.0
2022-06-18,SkyWest Airlines Inc.,ONT,PDX,2015,2229,838.0,133.0,1.0,8.0,"1#,0.0",125.0,138.0
2022-03-27,Delta Air Lines Inc.,ATL,SAT,2308,47,874.0,24.0,1.0,1.0,11.0,122.0,2.0
2022-05-16,Republic Airlines,MCI,LGA,600,957,1107.0,63.0,1.0,4.0,13.##0,143.0,49.0
2022-05-08,Delta Air Lines Inc.,RSW,ATL,1520,1705,515.0,0.0,0.0,-1.0,24.0,81.0,9.0
2022-03-29,Delta Air Lines Inc.,SJU,JFK,730,1133,1598.0,0.0,0.0,-1.0,11.##0,206.0,0.0
2022-06-11,SkyWest Airlines Inc.,DEN,EGE,1336,1432,120.0,0.0,0.0,-1.0,"99,99.0",26.0,0.0
2022-06-23,"GoJet Airlines, LLC d/b/a United Express",DCA,EWR,1900,2033,199.0,0.0,0.0,-1.0,49.0,48.0,2.0
2022-03-12,SkyWest Airlines Inc.,SEA,SMF,744,943,605.0,0.0,0.0,-1.0,18.0,87.0,0.0
2022-07-18,American Airlines Inc.,MCI,DFW,730,913,460.0,12.0,0.0,0.0,20.0,65.0,3.0
2022-02-11,United Air Lines Inc.,DFW,ORD,1424,1648,801.0,0.0,0.0,-1.0,20.0,112.0,0.0
2022-06-22,Delta Air Lines Inc.,ATL,MOB,2335,2345,302.0,88.0,1.0,5.0,11.0,44.0,75.0
2022-01-12,Spirit Air Lines,IAH,EWR,1428,1843,1400.0,0.0,0.0,-1.0,"11.,#0",168.0,0.0
2022-07-01,Alaska Airlines Inc.,JNU,SEA,1848,2213,909.0,0.0,0.0,-1.0,13.0,127.0,22.0
2022-07-09,Delta Air Lines Inc.,ORF,ATL,659,844,516.0,0.0,0.0,-1.0,13.0,81.0,0.0
2022-03-26,United Air Lines Inc.,DEN,BWI,952,1510,1491.0,0.#|0,0.0,-1.0,16.0,172.0,0.0
2022-07-25,Delta Air Lines Inc.,MSP,DCA,1842,2200,931.0,12.0,0.0,0.0,9.0,110.0,9.0
2022-01-09,Southwest Airlines Co.,MCO,FLL,910,1020,177.0,0.0,0.0,-1.0,12.0,41.0,0.0
2022-07-08,Delta Air Lines Inc.,LAX,SLC,545,847,590.0,0.0,0.0,-1.0,49.0,84.0,7.0
2022-03-13,Delta Air Lines Inc.,JFK,LAX,1215,1530,2475.0,0.|0,0.0,-1.0,15.0,343.0,0.0
2022-05-30,Delta Air Lines Inc.,ATL,GNV,1640,1755,300.0,"0,|.0",0.0,-1.0,12.0,48.0,0.0
2022-01-12,American Airlines Inc.,PHL,CLT,600,757,449.0,0.0,0.0,-1.0,14.|0,71.0,0.0
2022-03-25,Capital Cargo International,PWM,PHL,1237,1416,364.0,0.0,0.0,-1.0,12.0,78.0,0.0
2022-07-03,SkyWest Airlines Inc.,SLC,COS,1835,2010,411.0,0.0,0.0,-1.0,11.0,66.0,0.0
2022-07-14,Allegiant Air,HOU,PVU,1119,1319,1181.0,34.0,1.0,2.0,11.0,156.0,31.0
2022-07-23,Southwest Airlines Co.,KOA,HNL,1030,1115,163.0,0.||0,0.0,0.0,12.0,34.0,5.0
2022-03-05,Mesa Airlines Inc.,PHX,SBA,1837,1914,455.0,0##.0,0.0,-1.0,14.0,76.0,0.0
2022-04-01,Delta Air Lines Inc.,BOS,CVG,1940,2214,752.0,0.0,0.0,-1.0,17.0,110.0,0.0
2022-01-02,JetBlue Airways,SJU,BOS,1215,1532,1674.0,0.0,0.0,-1.0,13.0,237.0,0.0
2022-04-12,Southwest Airlines Co.,SNA,LAS,930,1035,226.0,10.0,0.0,0.0,"999,,9.0",37.0,5.0
2022-06-02,Envoy Air,DFW,SGF,933,1050,364.0,0.0,0.0,-1.0,18.0,51.0,0.0
2022-02-24,Air Wisconsin Airlines Corp,DAY,ORD,600,631,240.0,0.0,0.0,-1.0,33.0,55.0,0.0
2022-04-22,Southwest Airlines Co.,ABQ,MDW,1455,1840,1121.0,8.0,0.0,0.0,12.0,130.0,0.0
2022-07-04,United Air Lines Inc.,BOS,EWR,1900,2029,200.0,0.0,0.0,-1.0,13.0,41.0,0.0
2022-06-05,Delta Air Lines Inc.,ATL,DFW,855,1013,"7,|31.0",0.0,0.0,0.0,11.0,107.0,0.0
2022-02-14,American Airlines Inc.,DFW,MIA,1636,2017,1121.0,4.0,0.0,0.0,17.0,132.0,21.0
2022-02-15,American Airlines Inc.,PHX,SAT,1020,1322,843.0,0.0,0.0,0.0,15.##0,93.0,0.0
2022-06-22,American Airlines Inc.,BWI,ORD,1718,1840,621.0,25.0,1.0,1.0,112.0,89.0,115.0
2022-01-09,American Airlines Inc.,PVD,CLT,1922,2144,683.0,0.0,0.0,-1.0,9.0,125.0,0.0
2022-05-15,JetBlue Airways,SJU,EWR,110,515,1608.0,8.0,0.0,0.0,12.0,203.0,0.0
2022-04-10,Southwest Airlines Co.,HOU,MAF,700,835,441.0,0.0,0.0,-1.0,10.0,67.0,0.0
2022-04-05,Comair Inc.,JAX,DCA,1924,2119,634.0,0.0,0.0,-1.0,46.0,96.0,38.0
